t	v
0	-59.9512
0.1	-59.9512
0.2	-59.9512
0.3	-59.9512
0.4	-59.9512
0.5	-59.9512
0.6	-59.9512
0.7	-59.9512
0.8	-59.9512
0.9	-59.9512
1	-59.9512
1.1	-59.9512
1.2	-59.9512
1.3	-59.9512
1.4	-59.9512
1.5	-59.9512
1.6	-59.9512
1.7	-59.9512
1.8	-59.9512
1.9	-59.9512
2	-59.9512
2.1	-59.9512
2.2	-59.9512
2.3	-59.9512
2.4	-59.9512
2.5	-59.9512
2.6	-59.9512
2.7	-59.9512
2.8	-59.9512
2.9	-59.9512
3	-59.9512
3.1	-59.9512
3.2	-59.9512
3.3	-59.9512
3.4	-59.9512
3.5	-59.9512
3.6	-59.9512
3.7	-59.9512
3.8	-59.9512
3.9	-59.9512
4	-59.9512
4.1	-59.9512
4.2	-59.9512
4.3	-59.9512
4.4	-59.9512
4.5	-59.9512
4.6	-59.9512
4.7	-59.9512
4.8	-59.9512
4.9	-59.9512
5	-59.9512
5.1	-59.9512
5.2	-59.9512
5.3	-59.9512
5.4	-59.9512
5.5	-59.9512
5.6	-59.9512
5.7	-59.9512
5.8	-59.9512
5.9	-59.9512
6	-59.9512
6.1	-59.9512
6.2	-59.9512
6.3	-59.9512
6.4	-59.9512
6.5	-59.9512
6.6	-59.9512
6.7	-59.9512
6.8	-59.9512
6.9	-59.9512
7	-59.9512
7.1	-59.9512
7.2	-59.9512
7.3	-59.9512
7.4	-59.9512
7.5	-59.9512
7.6	-59.9512
7.7	-59.9512
7.8	-59.9512
7.9	-59.9512
8	-59.9512
8.1	-59.9512
8.2	-59.9512
8.3	-59.9512
8.4	-59.9512
8.5	-59.9512
8.6	-59.9512
8.7	-59.9512
8.8	-59.9512
8.9	-59.9512
9	-59.9512
9.1	-59.9512
9.2	-59.9512
9.3	-59.9512
9.4	-59.9512
9.5	-59.9512
9.6	-59.9512
9.7	-59.9512
9.8	-59.9512
9.9	-59.9512
10	-59.9512
10.1	-59.9512
10.2	-59.9512
10.3	-59.9512
10.4	-59.9512
10.5	-59.9512
10.6	-59.9512
10.7	-59.9512
10.8	-59.9512
10.9	-59.9512
11	-59.9512
11.1	-59.9512
11.2	-59.9512
11.3	-59.9512
11.4	-59.9512
11.5	-59.9512
11.6	-59.9512
11.7	-59.9512
11.8	-59.9512
11.9	-59.9512
12	-59.9512
12.1	-59.9512
12.2	-59.9512
12.3	-59.9512
12.4	-59.9512
12.5	-59.9512
12.6	-59.9512
12.7	-59.9512
12.8	-59.9512
12.9	-59.9512
13	-59.9512
13.1	-59.9512
13.2	-59.9512
13.3	-59.9512
13.4	-59.9512
13.5	-59.9512
13.6	-59.9512
13.7	-59.9512
13.8	-59.9513
13.9	-59.9513
14	-59.9513
14.1	-59.9514
14.2	-59.9514
14.3	-59.9515
14.4	-59.9515
14.5	-59.9516
14.6	-59.9517
14.7	-59.9517
14.8	-59.9518
14.9	-59.9519
15	-59.9519
15.1	-59.952
15.2	-59.9521
15.3	-59.9522
15.4	-59.9522
15.5	-59.9523
15.6	-59.9524
15.7	-59.9525
15.8	-59.9526
15.9	-59.9526
16	-59.9527
16.1	-59.9528
16.2	-59.9529
16.3	-59.953
16.4	-59.953
16.5	-59.9531
16.6	-59.9532
16.7	-59.9533
16.8	-59.9533
16.9	-59.9534
17	-59.9535
17.1	-59.9536
17.2	-59.9536
17.3	-59.9537
17.4	-59.9538
17.5	-59.9539
17.6	-59.954
17.7	-59.954
17.8	-59.9541
17.9	-59.9542
18	-59.9543
18.1	-59.9544
18.2	-59.9545
18.3	-59.9546
18.4	-59.9547
18.5	-59.9548
18.6	-59.9549
18.7	-59.9551
18.8	-59.9552
18.9	-59.9554
19	-59.9555
19.1	-59.9556
19.2	-59.9558
19.3	-59.9559
19.4	-59.9561
19.5	-59.9563
19.6	-59.9564
19.7	-59.9566
19.8	-59.9567
19.9	-59.9569
